"Year","GDPTotalBillion","GDPPerCapita","GDPPPPBillion","GDPGrowthRate","GNIBillion","GNIPerCapita","GNIPerCapitaPPP","AdjustedNNIPerCapita","InflationRate","ExportsPercentGDP","ImportsPercentGDP","TradeBalance","FDINetInflowsMillion","UnemploymentRate"
"1970","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.07","N/A"
"1971","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.82","N/A"
"1972","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-0.89","N/A"
"1973","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.03","N/A"
"1974","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.25","N/A"
"1975","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4.09","N/A"
"1976","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-0.34","N/A"
"1977","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-0.01","N/A"
"1978","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.46","N/A"
"1979","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-0.06","N/A"
"1980","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.67","N/A"
"1981","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","17.91","N/A"
"1982","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13.05","N/A"
"1983","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.13","N/A"
"1984","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.69","N/A"
"1985","14.095","238.65","N/A","3.81","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-0.08","N/A"
"1986","26.337","436.42","N/A","2.79","N/A","N/A","N/A","N/A","N/A","6.62","16.6","-9.97","0.04","N/A"
"1987","36.658","595.25","N/A","3.58","N/A","N/A","N/A","N/A","N/A","6","14.8","-8.8","10.36","N/A"
"1988","25.424","404.56","N/A","5.14","N/A","N/A","N/A","N/A","N/A","3.95","15.01","-11.06","7.68","N/A"
"1989","6.293","98.11","N/A","7.36","0","220","N/A","92.98","N/A","23.85","34.06","-10.21","4.07","N/A"
"1990","6.472","98.8","0","5.1","0","130","1150","83.92","N/A","36.04","45.28","-9.24","180","N/A"
"1991","9.613","143.72","0","5.96","0","110","1240","127.03","N/A","30.92","36.03","-5.12","375.19","2.14"
"1992","9.867","144.55","0","8.65","0","140","1380","128.84","N/A","34.75","38.83","-4.09","473.95","2.11"
"1993","13.181","189.42","0","8.07","0","170","1490","170.32","N/A","28.72","37.49","-8.77","926.3","2.04"
"1994","16.286","229.86","0","8.84","0","200","1640","210.81","N/A","34.01","43.46","-9.45","1944.52","1.97"
"1995","20.736","287.8","0","9.54","0","260","1840","270.62","N/A","32.81","41.91","-9.1","1780.4","1.96"
"1996","24.657","337.05","0","9.34","0","310","2010","313.6","N/A","40.87","51.84","-10.97","2395","1.93"
"1997","26.844","361.64","0","8.15","0","350","2160","334.52","N/A","43.1","51.24","-8.14","2220","2.87"
"1998","27.21","361.35","0","5.76","0","360","2270","333.38","N/A","44.85","52.15","-7.3","1671","2.29"
"1999","28.684","375.99","0","4.77","0","370","2390","338.81","N/A","49.97","52.82","-2.85","1412","2.33"
"2000","31.173","404.03","0","6.79","0","390","2580","349.76","N/A","53.92","57.5","-3.57","1298","2.26"
"2001","32.685","419.21","0","6.19","0","410","2780","363.34","N/A","55.06","56.89","-1.83","1300","2.76"
"2002","35.064","445.13","0","6.32","0","430","2960","382.45","N/A","54.74","61.96","-7.22","1400","2.12"
"2003","39.553","497.12","0","6.9","0","480","3200","417.98","3.23","56.67","67.65","-10.98","1450","2.25"
"2004","45.428","565.45","0","7.54","0","550","3490","449.33","7.75","59.73","73.29","-13.55","1610","2.14"
"2005","57.633","710.75","0","7.55","0","650","3840","552.12","8.28","63.7","67.02","-3.32","1954","2.08"
"2006","66.372","807.76","0","6.98","0","740","4170","617.71","7.42","67.72","70.6","-2.88","2400","2.05"
"2007","77.414","925.64","0","7.13","0","860","4480","716.62","8.34","70.52","84.09","-13.57","6700","2.03"
"2008","99.13","1163.83","0","5.66","0","1000","4730","887.4","23.12","70.34","83.98","-13.64","9579","1.89"
"2009","106.015","1226.17","0","5.4","0","1120","4890","935.39","6.72","62.61","72.1","-9.49","7600","1.74"
"2010","147.201","1683.16","0","6.42","0","1370","5220","1318.76","9.21","54.18","59.8","-5.63","8000","1.11"
"2011","172.595","1950.93","0","6.41","0","1630","5620","1527.12","18.68","61.18","64.08","-2.9","7430","1"
"2012","195.591","2185.12","0","5.5","0","1980","6170","1725.81","9.09","63.47","59.75","3.72","8368","1.03"
"2013","213.709","2359.52","0","5.55","0","2200","6530","1888.89","6.59","66.8","64.05","2.75","8900","1.32"
"2014","233.451","2546.38","0","6.42","0","2390","7020","2051.71","4.08","69.6","65.81","3.79","9200","1.26"
"2015","239.258","2577.57","0","6.99","0","2460","7280","2079.36","0.63","72.92","71.99","0.93","11800","1.85"
"2016","257.096","2735.06","0","6.69","0","2560","7910","2203.4","2.67","74.11","71.3","2.81","12600","1.85"
"2017","281.354","2956.11","0","6.94","0","2680","8620","2375.68","3.52","81.76","79.22","2.54","14100","1.87"
"2018","310.106","3222.31","0","7.47","0","3020","9500","2612.75","3.54","84.42","80.24","4.18","15500","1.16"
"2019","334.365","3440.9","0","7.36","0","3290","10480","2788.69","2.8","85.16","79.55","5.61","16120","1.68"
"2020","346.616","3534.04","0","2.87","0","3400","11110","2898.33","3.22","84.38","78.86","5.52","15800","2.1"
"2021","366.475","3704.19","0","2.55","0","3540","11430","2992.42","1.83","93.85","92.83","1.02","15660","2.38"
"2022","413.445","4147.7","0","8.54","0","3980","13240","N/A","3.16","93.42","89.73","3.69","17900","1.52"
"2023","433.858","4323.35","0","5.07","0","4150","14260","N/A","3.25","86.47","78.35","8.12","18500","1.64"
"2024","476.388","4717.29","0","7.09","0","4490","15850","N/A","3.62","N/A","N/A","N/A","20170","1.43"
