"Year","UrbanPopulationPercent","UrbanPopulation","UrbanGrowthRate","RuralPopulation"
"1960","14.7","4782194","N/A","27749739"
"1961","15.031","5021716","4.88722709485777","28387343"
"1962","15.369","5269809","4.82224110507468","29018751"
"1963","15.714","5539044","4.98278036793278","29710057"
"1964","16.064","5815419","4.86909157133242","30386144"
"1965","16.421","6097061","4.72940133911995","31032595"
"1966","16.784","6382088","4.56884647458509","31642748"
"1967","17.153","6671673","4.43753365220769","32223407"
"1968","17.529","6965080","4.30384401032305","32769529"
"1969","17.911","7268659","4.26627246927111","33313437"
"1970","18.3","7589967","4.32554257120477","33885263"
"1971","18.396","7808969","2.84457013221978","34640307"
"1972","18.492","8030922","2.80263959003749","35398246"
"1973","18.588","8254905","2.75082283344365","36154956"
"1974","18.685","8485519","2.75534944514493","36928018"
"1975","18.782","8730419","2.84523005374075","37752484"
"1976","18.88","9002915","3.07350496665589","38682016"
"1977","18.978","9290656","3.14607501112727","39664216"
"1978","19.076","9585605","3.12533300674466","40663947"
"1979","19.175","9851772","2.738884351822","41526439"
"1980","19.247","10102770","2.51583061898991","42387331"
"1981","19.309","10376298","2.6714523053826","43361843"
"1982","19.372","10656787","2.66727994508949","44354502"
"1983","19.435","10949275","2.70762778488814","45388646"
"1984","19.498","11251529","2.72307865015961","46454538"
"1985","19.561","11552848","2.64279561320477","47507774"
"1986","19.625","11843108","2.48141083502531","48503940"
"1987","19.688","12124786","2.35056921744941","49459865"
"1988","19.752","12412794","2.34759277081343","50430434"
"1989","19.891","12759549","2.75522175730233","51387799"
"1990","20.257","13269257","3.91699233551035","52235295"
"1991","20.629","13799104","3.91538066995253","53092671"
"1992","21.006","14338766","3.83631159510538","53921571"
"1993","21.387","14882440","3.72152159864684","54703944"
"1994","21.774","15427835","3.59913509916759","55426556"
"1995","22.166","15970590","3.45755603667641","56079350"
"1996","22.563","16506289","3.29925539868944","56650158"
"1997","22.965","17046205","3.21861385077166","57180684"
"1998","23.371","17598284","3.18737989810558","57701376"
"1999","23.817","18169382","3.19364724311128","58118070"
"2000","24.374","18805519","3.4412520862476","58348492"
"2001","24.937","19443220","3.33480325916787","58526141"
"2002","25.511","20095582","3.30015667342866","58676642"
"2003","26.092","20759781","3.25175191988712","58803996"
"2004","26.683","21436848","3.20938013603773","58902123"
"2005","27.281","22121703","3.14478523712373","58966610"
"2006","27.888","22914983","3.52318132479642","59252914"
"2007","28.504","23838857","3.952592032822","59794518"
"2008","29.128","24810004","3.9930062512113","60365784"
"2009","29.762","25732231","3.64973717285255","60727787"
"2010","30.417","26601234","3.32132750315342","60853918"
"2011","31.08","27495952","3.30811881484735","60972362"
"2012","31.752","28421328","3.31010553962891","61089028"
"2013","32.429","29371952","3.2900356144746","61201152"
"2014","33.115","30359692","3.30756021698554","61319886"
"2015","33.809","31382614","3.31382377529812","61440640"
"2016","34.51","32439440","3.31209211580795","61560677"
"2017","35.213","33514669","3.26082571268108","61662308"
"2018","35.919","34567483","3.09302189027882","61669836"
"2019","36.628","35592811","2.92302367743811","61580965"
"2020","37.34","36622770","2.8526498848033","61456421"
"2021","38.052","37646783","2.75773275966557","61288315"
"2022","38.766","38642203","2.60975154685066","61038452"
"2023","39.48","39619045","2.49649158153454","60733147"
"2024","40.195","40592000","2.42610658649119","60395686"
