"Year","Total","Urban","Rural","Sum","Difference","DiffPercent"
"2000","77154011","372","54669128","54669500","22484511","29.14"
"2001","77969361","393","55001815","55002208","22967153","29.46"
"2002","78772224","425","55320608","55321033","23451191","29.77"
"2003","79563777","441","55626446","55626887","23936890","30.09"
"2004","80338971","485","55915925","55916410","24422561","30.4"
"2005","81088313","509","56182617","56183126","24905187","30.71"
"2006","82167897","515","56672372","56672887","25495010","31.03"
"2007","83633375","545","57420286","57420831","26212544","31.34"
"2008","85175788","572","58211567","58212139","26963649","31.66"
"2009","86460018","615","58817515","58818130","27641888","31.97"
"2010","87455152","670","59219632","59220302","28234850","32.28"
"2011","88468314","664","59627644","59628308","28840006","32.6"
"2012","89510356","664","60048662","60049326","29461030","32.91"
"2013","90573104","675","60476955","60477630","30095474","33.23"
"2014","91679578","746","60927628","60928374","30751204","33.54"
"2015","92823254","679","61395952","61396631","31426623","33.86"
"2016","94000117","739","61878934","61879673","32120444","34.17"
"2017","95176977","757","62354517","62355274","32821703","34.48"
"2018","96237319","886","62746732","62747618","33489701","34.8"
"2019","97173776","987","63051899","63052886","34120890","35.11"
"2020","98079191","991","63331135","63332126","34747065","35.43"
"2021","98935098","962","63572867","63573829","35361269","35.74"
"2022","99680655","1023","63738659","63739682","35940973","36.06"
